query,complexity,tables,predicates,cost ratio,MAX Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error
10_1,1,4,3,1.0,4.26051424386107,0.0,0.0,0.0
10_10,1,4,3,1.0,4.8259548326446735,1.0499985338091093,1.0499985338091093,0.049797097301061896
10_11,1,4,3,1.0,4.6854159149279395,1.0627877944577997,1.0627877944577997,0.050403639154621524
10_12,1,4,3,1.0,9.480113152969201,1.9154871822852715,1.9154871822852715,0.09084365218031604
10_13,1,4,3,1.0,9.966543665436655,1.9136213824062198,1.9136213824062198,0.09075516499187741
10_14,1,4,3,1.0,4.8292277401006345,1.0501430796012459,1.0501430796012459,0.04980395251146811
10_15,1,4,3,1.0,9.360177458540193,1.8899377124381407,1.8899377124381407,0.08963194626359194
10_16,1,4,3,1.0,10.060637599837094,1.9051714204375985,1.9051714204375985,0.09035441816719832
10_17,1,4,3,1.0,9.393881331034041,1.8749697865813615,1.8749697865813615,0.08892207931017712
10_18,1,4,3,1.0,4.806828822158831,1.0526555149236039,1.0526555149236039,0.0499231069504331
10_19,1,4,3,1.0,10.078657553532096,1.8984491244029909,1.8984491244029909,0.09003560740799896
10_2,1,4,3,1.0,9.264685671449097,1.9054143562961108,1.9054143562961108,0.0903659396124144
10_20,1,4,3,1.0,9.984015804597702,1.905957875096318,1.905957875096318,0.09039171646610265
10_21,1,4,3,1.0,9.948624262002896,1.9210148570379828,1.9210148570379828,0.09110580698210496
10_22,1,4,3,1.0,9.342649101393157,1.8973041331523572,1.8973041331523572,0.08998130519815699
10_23,1,4,3,1.0,4.8053638679060455,1.05267194763556,1.05267194763556,0.049923886286146295
10_24,1,4,3,1.0,10.135550753953659,1.8743691650632712,1.8743691650632712,0.08889359431023246
10_25,1,4,3,1.0,4.744733900782392,1.0551510868926126,1.0551510868926126,0.0500414616301408
10_26,1,4,3,1.0,9.552633849605247,1.8918059124821691,1.8918059124821691,0.08972054728195036
10_27,1,4,3,1.0,4.319290292324527,0.0,0.0,0.0
10_28,1,4,3,1.0,9.58047522004943,1.8840652786038945,1.8840652786038945,0.08935344096132533
10_29,1,4,3,1.0,10.097225072394373,1.8900799692164836,1.8900799692164836,0.08963869291552029
10_3,1,4,3,1.0,9.281536757174809,1.8980566113554866,1.8980566113554866,0.09001699213398748
10_30,1,4,3,1.0,10.060619769282967,1.9061212962868366,1.9061212962868366,0.09039946685875871
10_31,1,4,3,1.0,9.501955002884431,1.9073927377073057,1.9073927377073057,0.09045976607831858
10_32,1,4,3,1.0,10.09614990084114,1.8906195402098844,1.8906195402098844,0.08966428254102361
10_33,1,4,3,1.0,4.766556541642374,1.0526514066597799,1.0526514066597799,0.049922912112434
10_34,1,4,3,1.0,4.381968123067163,0.0,0.0,0.0
10_35,1,4,3,1.0,4.4095914458985,0.0,0.0,0.0
10_36,1,4,3,1.0,9.529707328595048,1.8998039153788817,1.8998039153788817,0.09009985955300367
10_37,1,4,3,1.0,4.704989662595648,1.0603026547499075,1.0603026547499075,0.0502857792340065
10_38,1,4,3,1.0,9.297074992656007,1.890215449345335,1.890215449345335,0.08964511817892927
10_39,1,4,3,1.0,4.766041972536488,1.0578332555124303,1.0578332555124303,0.05016866581894513
10_4,1,4,3,1.0,10.000946500202822,1.89813715988877,1.89813715988877,0.09002081221851162
10_40,1,4,3,1.0,4.290783445919714,0.0,0.0,0.0
10_41,1,4,3,1.0,4.745855997248081,1.0603309662121387,1.0603309662121387,0.05028712192982375
10_42,1,4,3,1.0,9.24782248029863,1.9136856066070909,1.9136856066070909,0.09075821088068285
10_43,1,4,3,1.0,4.2585442916040535,0.0,0.0,0.0
10_44,1,4,3,1.0,4.232613357843137,0.0,0.0,0.0
10_45,1,4,3,1.0,9.52464048078987,1.8994033226112026,1.8994033226112026,0.09008086109120787
10_46,1,4,3,1.0,9.635816123168569,1.868016885292026,1.868016885292026,0.08859233189541295
10_47,1,4,3,1.0,9.475013988722937,1.866824117736947,1.866824117736947,0.08853576385261545
10_48,1,4,3,1.0,4.350403463885062,0.0,0.0,0.0
10_49,1,4,3,1.0,9.612155033352225,1.8760419837649214,1.8760419837649214,0.08897292919782597
10_5,1,4,3,1.0,4.411703656394699,0.0,0.0,0.0
10_50,1,4,3,1.0,4.2886189903379766,0.0,0.0,0.0
10_51,1,4,3,1.0,4.230669116521207,0.0,0.0,0.0
10_52,1,4,3,1.0,4.262486019514829,0.0,0.0,0.0
10_53,1,4,3,1.0,9.27994984850068,1.8985038294681296,1.8985038294681296,0.0900382018434804
10_54,1,4,3,1.0,9.393072321219476,1.8746851626721832,1.8746851626721832,0.08890858077275712
10_55,1,4,3,1.0,4.764601769911504,1.0577153533952746,1.0577153533952746,0.05016307420808953
10_56,1,4,3,1.0,9.507630813953488,1.9079066934899291,1.9079066934899291,0.09048414088008416
10_57,1,4,3,1.0,9.534993125966661,1.9001832826772653,1.9001832826772653,0.09011785137838453
10_58,1,4,3,1.0,4.203316345934434,0.0,0.0,0.0
10_59,1,4,3,1.0,9.296610169491526,1.8911179520913577,1.8911179520913577,0.08968792015970456
10_6,1,4,3,1.0,4.379710719239152,0.0,0.0,0.0
10_60,1,4,3,1.0,9.56292234288305,1.8923731694753165,1.8923731694753165,0.08974744994016647
10_61,1,4,3,1.0,9.264733434644128,1.906336323993069,1.906336323993069,0.09040966473548416
10_62,1,4,3,1.0,10.079269539146432,1.8977609971679752,1.8977609971679752,0.09000297237302107
10_63,1,4,3,1.0,10.11667353385524,1.882756520902171,1.882756520902171,0.08929137198454323
10_64,1,4,3,1.0,4.441845510811028,0.0,0.0,0.0
10_65,1,4,3,1.0,9.557305941000022,1.8920720227063348,1.8920720227063348,0.08973316779169291
10_66,1,4,3,1.0,9.585476944432395,1.8842530077444204,1.8842530077444204,0.08936234417973565
10_67,1,4,3,1.0,4.848532771041996,1.047472478652032,1.047472478652032,0.0496772969295428
10_68,1,4,3,1.0,9.589363594940005,1.8841710551246225,1.8841710551246225,0.08935845750518255
10_69,1,4,3,1.0,10.11509408048345,1.8822413190389686,1.8822413190389686,0.08926693808631815
10_7,1,4,3,1.0,4.784844149651017,1.0552042204670011,1.0552042204670011,0.05004398153630122
10_70,1,4,3,1.0,9.608894602662716,1.8762370936175308,1.8762370936175308,0.08898218245295152
10_71,1,4,3,1.0,4.724828767123288,1.0577966682404865,1.0577966682404865,0.050166930635626
10_72,1,4,3,1.0,9.375988802409179,1.8820876590814053,1.8820876590814053,0.08925965062865829
10_73,1,4,3,1.0,9.376301227553162,1.8832756018613632,1.8832756018613632,0.08931598985228277
10_74,1,4,3,1.0,4.786296617519515,1.055314556423393,1.055314556423393,0.050049214315375984
10_75,1,4,3,1.0,10.020614590876177,1.8902830757490534,1.8902830757490534,0.08964832542017548
10_8,1,4,3,1.0,9.3136742775297,1.882821368401761,1.882821368401761,0.08929444743383468
10_9,1,4,3,1.0,10.042136097341144,1.9135231524437857,1.9135231524437857,0.09075050635013678
11_1,1,3,2,1.0,19.791208791208792,0.0,0.0,0.0
11_2,1,3,2,1.0,19.802197802197803,0.0,0.0,0.0
11_3,1,3,2,1.0,19.791208791208792,0.0,0.0,0.0
11_4,1,3,2,1.0,19.791208791208792,0.0,0.0,0.0
11_5,1,3,2,1.0,19.791208791208792,0.0,0.0,0.0
18_1,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_10,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_11,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_12,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_13,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_14,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_15,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_16,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_17,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_18,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_19,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_2,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_20,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_21,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_22,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_23,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_24,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_25,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_26,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_27,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_28,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_29,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_3,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_30,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_31,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_32,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_33,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_34,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_35,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_36,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_37,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_38,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_39,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_4,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_40,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_41,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_42,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_43,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_44,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_45,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_46,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_47,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_48,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_49,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_5,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_50,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_51,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_52,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_53,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_54,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_55,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_56,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_57,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_58,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_59,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_6,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_60,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_61,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_62,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_63,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_64,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_65,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_66,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_67,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_68,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_69,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_7,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_70,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_71,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_72,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_73,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_74,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_75,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_76,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_77,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_78,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_79,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_8,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_80,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
18_9,1,3,2,1.0,4.999895835503427,0.0,0.0,0.0
21_1,1,4,3,1.0,196.9870879120879,0.0,0.0,0.0
21_2,1,4,3,1.0,197.04972527472526,0.0,0.0,0.0
21_3,1,4,3,1.0,197.3598901098901,0.0,0.0,0.0
21_4,1,4,3,1.0,196.7423076923077,0.0,0.0,0.0
21_5,1,4,3,1.0,197.3,0.0,0.0,0.0
2a_1,1,5,4,1.3090435377786216,93.0,19.548979591836737,19.548979591836737,0.9271274268732904
2a_10,1,5,4,1.3092309575741223,75.0,15.9375,15.9375,0.7558498537674707
2a_11,1,5,4,1.3090171960711823,96.0,20.15049504950495,20.15049504950495,0.9556548226830092
2a_12,1,5,4,1.3090458537755174,93.0,19.548979591836737,19.548979591836737,0.9271274268732904
2a_13,1,5,4,1.3093417686095787,68.14310051107326,13.526470588235293,13.526470588235293,0.6415046786577342
2a_14,1,5,4,1.3093138712393593,68.14310051107326,14.129577464788731,14.129577464788731,0.670107548897676
2a_15,1,5,4,1.3092224592891657,75.0,15.9375,15.9375,0.7558498537674707
2a_16,1,5,4,1.3092247769569203,75.0,15.9375,15.9375,0.7558498537674707
2a_17,1,5,4,1.3093417686095787,68.14310051107326,13.526470588235293,13.526470588235293,0.6415046786577342
2a_18,1,5,4,1.3092534434642262,72.0,15.335064935064935,15.335064935064935,0.727278844780141
2a_19,1,5,4,1.3092209141966302,75.0,15.9375,15.9375,0.7558498537674707
2a_2,1,5,4,1.3092185965867784,75.0,15.9375,15.9375,0.7558498537674707
2a_20,1,5,4,1.30892428507557,105.0,21.954545454545453,21.954545454545453,1.0412134883983981
2a_21,1,5,4,1.3092805656535371,69.0,14.732432432432432,14.732432432432432,0.6986984721376123
2a_22,1,5,4,1.308981593191804,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_23,1,5,4,1.3092844293423946,69.0,14.732432432432432,14.732432432432432,0.6986984721376123
2a_24,1,5,4,1.3091078057627643,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_25,1,5,4,1.3093433144604745,68.14310051107326,13.526470588235293,13.526470588235293,0.6415046786577342
2a_26,1,5,4,1.3091326060291137,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_27,1,5,4,1.3091922492704962,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_28,1,5,4,1.0,200000.0,40019.812073181616,40122.60772774707,1899.0885688553244
2a_29,1,5,4,1.3092193691195355,75.0,15.9375,15.9375,0.7558498537674707
2a_3,1,5,4,1.309165902612441,81.0,17.141860465116277,17.141860465116277,0.8129677004461506
2a_30,1,5,4,1.3091930217277794,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_31,1,5,4,1.3092247769569203,75.0,15.9375,15.9375,0.7558498537674707
2a_32,1,5,4,1.308980821397705,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_33,1,5,4,1.3091620407612634,81.0,17.141860465116277,17.141860465116277,0.8129677004461506
2a_34,1,5,4,1.3091387843101006,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_35,1,5,4,1.3090435377786216,93.0,19.548979591836737,19.548979591836737,0.9271274268732904
2a_36,1,5,4,1.3091914768170723,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_37,1,5,4,1.3091914768170723,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_38,1,5,4,1.3091635854901569,81.0,17.141860465116277,17.141860465116277,0.8129677004461506
2a_39,1,5,4,1.3091039448012611,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_4,1,5,4,1.3091008561015032,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_40,1,5,4,1.3092209141966302,75.0,15.9375,15.9375,0.7558498537674707
2a_41,1,5,4,1.3093138712393593,68.14310051107326,14.129577464788731,14.129577464788731,0.670107548897676
2a_42,1,5,4,1.309045081772695,93.0,19.548979591836737,19.548979591836737,0.9271274268732904
2a_43,1,5,4,1.3092224592891657,75.0,15.9375,15.9375,0.7558498537674707
2a_44,1,5,4,1.309254988769491,72.0,15.335064935064935,15.335064935064935,0.727278844780141
2a_45,1,5,4,1.3091016282706556,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_46,1,5,4,1.3091907043675082,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_47,1,5,4,1.3091000839362086,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_48,1,5,4,1.3091883870419734,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_49,1,5,4,1.3091937941889225,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_5,1,5,4,1.3091945666539253,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_50,1,5,4,1.3091945666539253,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_51,1,5,4,1.0,200000.0,40019.812073181616,40122.60772774707,1899.0885688553244
2a_52,1,5,4,1.3091403289189345,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_53,1,5,4,1.3092286398137183,75.0,15.9375,15.9375,0.7558498537674707
2a_54,1,5,4,1.3089862240373686,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_55,1,5,4,1.3090737405354365,90.0,18.94736842105263,18.94736842105263,0.8985954917854759
2a_56,1,5,4,1.3089862240373686,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_57,1,5,4,1.3091945666539253,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_58,1,5,4,1.3091078057627643,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_59,1,5,4,1.3089792778210738,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_6,1,5,4,1.3092185965867784,75.0,15.9375,15.9375,0.7558498537674707
2a_60,1,5,4,1.3091922492704962,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_61,1,5,4,1.3090675639555651,90.0,18.94736842105263,18.94736842105263,0.8985954917854759
2a_62,1,5,4,1.3090729684494518,90.0,18.94736842105263,18.94736842105263,0.8985954917854759
2a_63,1,5,4,1.3091326060291137,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_64,1,5,4,1.3090419937999755,93.0,19.548979591836737,19.548979591836737,0.9271274268732904
2a_65,1,5,4,1.3093409956899245,68.14310051107326,13.526470588235293,13.526470588235293,0.6415046786577342
2a_66,1,5,4,1.3092867476020458,69.0,14.732432432432432,14.732432432432432,0.6986984721376123
2a_67,1,5,4,1.308981593191804,99.0,20.751923076923077,20.751923076923077,0.9841780720367754
2a_68,1,5,4,1.3090133365307035,96.0,20.15049504950495,20.15049504950495,0.9556548226830092
2a_69,1,5,4,1.30931618977183,68.14310051107326,14.129577464788731,14.129577464788731,0.670107548897676
2a_7,1,5,4,1.3092185965867784,75.0,15.9375,15.9375,0.7558498537674707
2a_70,1,5,4,1.3091318337613542,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_71,1,5,4,1.3092518981744048,72.0,15.335064935064935,15.335064935064935,0.727278844780141
2a_72,1,5,4,1.3090783731323523,90.0,18.94736842105263,18.94736842105263,0.8985954917854759
2a_73,1,5,4,1.3093417686095787,68.14310051107326,13.526470588235293,13.526470588235293,0.6415046786577342
2a_74,1,5,4,1.3091047169858456,87.0,18.34565217391304,18.34565217391304,0.8700585733597523
2a_75,1,5,4,1.30921550649435,75.0,15.9375,15.9375,0.7558498537674707
2a_76,1,5,4,1.3091326060291137,84.0,17.7438202247191,17.7438202247191,0.8415161676630727
2a_77,1,5,4,1.3091992015249974,78.0,16.539759036144577,16.539759036144577,0.784412514435707
2a_78,1,5,4,1.309252670817385,72.0,15.335064935064935,15.335064935064935,0.727278844780141
2a_79,1,5,4,1.30907682891795,90.0,18.94736842105263,18.94736842105263,0.8985954917854759
2a_8,1,5,4,1.3094324252737422,68.14310051107326,11.715254237288136,11.715254237288136,0.5556061617005791
2a_80,1,5,4,1.3093138712393593,68.14310051107326,14.129577464788731,14.129577464788731,0.670107548897676
2a_9,1,5,4,1.3093138712393593,68.14310051107326,14.129577464788731,14.129577464788731,0.670107548897676
2b_1,1,5,4,1.0,68.14310051107326,0.0,0.0,0.0
2b_2,1,5,4,1.0,68.14310051107326,0.0,0.0,0.0
2b_3,1,5,4,1.0,68.14310051107326,0.0,0.0,0.0
2b_4,1,5,4,1.0,68.14310051107326,0.0,0.0,0.0
2b_5,1,5,4,1.0,68.14310051107326,0.0,0.0,0.0
3_1,1,3,2,1.0,9.916167876748716,4.0286548918705005,4.0286548918705005,0.1910624759780344
3_10,1,3,2,1.0,9.837511410715539,5.727012146618474,5.727012146618474,0.2716085517519123
3_11,1,3,2,1.0,9.916167876748716,5.755007907351496,5.755007907351496,0.2729362751499461
3_12,1,3,2,1.0,9.8973244265366,5.747316306476998,5.747316306476998,0.2725714942623397
3_13,1,3,2,1.0,9.901670087042673,5.738159415491067,5.738159415491067,0.2721372207117401
3_14,1,3,2,1.0,9.921610319654121,4.029308235796338,4.029308235796338,0.19109346138420252
3_15,1,3,2,1.0,9.88294456011575,5.702576719904603,5.702576719904603,0.2704496803035405
3_16,1,3,2,1.0,9.914092390534222,5.734728551055559,5.734728551055559,0.2719745089701323
3_17,1,3,2,1.0,9.837511410715539,4.017318088036975,4.017318088036975,0.1905248181571867
3_18,1,3,2,1.0,9.909644310741461,7.399749604887672,7.399749604887672,0.3509395863071527
3_19,1,3,2,1.0,9.914990794505028,5.746948515150389,5.746948515150389,0.2725540514375281
3_2,1,3,2,1.0,9.901670087042673,5.699680843403255,5.699680843403255,0.2703123408318497
3_20,1,3,2,1.0,9.92159086881004,5.751878792378527,5.751878792378527,0.27278787414008004
3_21,1,3,2,1.0,9.837307300628577,5.685332117133947,5.685332117133947,0.2696318399595419
3_22,1,3,2,1.0,9.837511410715539,5.7172955190440735,5.7172955190440735,0.2711477322048551
3_23,1,3,2,1.0,9.87968546140555,7.390083025573987,7.390083025573987,0.35048114034256095
3_24,1,3,2,1.0,9.845715892317425,7.365987050167978,7.365987050167978,0.3493383676688658
3_25,1,3,2,1.0,9.899048831370886,4.020965358805358,4.020965358805358,0.19069779315809227
3_26,1,3,2,1.0,9.91111268503435,5.734034899795839,5.734034899795839,0.27194161195345934
