query,join_size,true,psql_est,compass_est,plan
57_3,3,897347,392928,2.10645e+06,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
57_4,3,2693690,1478686,4.36087e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
57_5,3,84217062,14486905,1.08783e+08,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
57_6,4,81495003,7073015,6.32314e+08,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
58_0,2,3785589,2212525,3.02814e+06,"['cast_info-ci', 'title-t']"
58_1,2,58024,28149,67507,"['movie_info_idx-mi_idx', 'title-t']"
58_2,2,682355,275778,736537,"['movie_keyword-mk', 'title-t']"
58_3,3,547364,287048,2.40534e+06,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
58_4,3,1839592,1080232,3.89915e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
58_5,3,53765709,10583195,4.95644e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
58_6,4,51282842,5167086,1.3902e+09,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_0,2,524576,399955,584962,"['movie_companies-mc', 'title-t']"
59_1,2,296199,198813,279314,"['movie_info_idx-mi_idx', 'title-t']"
59_10,4,532005,2817463,1.2833e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
59_11,4,8559047,14021878,4.24309e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_12,4,289007,1071968,3.12717e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
59_13,4,5265503,3739116,3.54552e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_14,5,8275169,14594882,1.24239e+10,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_2,2,84174,70784,81037,"['movie_info-mi', 'title-t']"
59_3,2,684042,693477,452758,"['movie_keyword-mk', 'title-t']"
59_4,3,5553478,3592316,3.40837e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
59_5,3,731643,2706846,5.8891e+06,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
59_6,3,447627,721816,1.3411e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
59_7,3,494243,1029882,1.33989e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
59_8,3,248594,366669,676198,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
59_9,3,71285,206938,249830,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
5_0,2,211875,147301,209780,"['movie_companies-mc', 'title-t']"
5_1,2,3,1,30.9942,"['movie_info_idx-mi_idx', 'title-t']"
5_2,3,9,1,1242.4,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
60_0,2,409251,323766,452627,"['movie_companies-mc', 'title-t']"
60_1,2,233592,160940,204492,"['movie_info_idx-mi_idx', 'title-t']"
60_10,4,346794,2280751,1.22378e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
60_11,4,5280948,11350786,5.18588e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_12,4,208040,867764,2.30612e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
60_13,4,3432100,3026835,4.0498e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_14,5,5060606,11814637,6.77073e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_2,2,64063,57299,65312,"['movie_info-mi', 'title-t']"
60_3,2,475878,561374,341768,"['movie_keyword-mk', 'title-t']"
60_4,3,3655294,2907999,3.66425e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
60_5,3,488089,2191207,6.35675e+06,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
60_6,3,305628,584314,2.0528e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
60_7,3,374517,833695,1.07804e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
60_8,3,183850,296821,403151,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
60_9,3,53013,167517,259982,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
61_0,2,1170186,839213,1.30112e+06,"['movie_companies-mc', 'title-t']"
61_1,2,641527,417162,616735,"['movie_info_idx-mi_idx', 'title-t']"
61_10,4,1801122,5911786,2.40418e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
61_11,4,27360458,29421632,5.29252e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_12,4,784265,2249274,3.61432e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
61_13,4,16001104,7845660,2.05618e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_14,5,26718423,30623948,1.50197e+10,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_2,2,221314,148523,232384,"['movie_info-mi', 'title-t']"
61_3,2,1970380,1455099,1.84893e+06,"['movie_keyword-mk', 'title-t']"
61_4,3,16657594,7537635,2.77572e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
61_5,3,2283714,5679684,1.16263e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
61_6,3,1402930,1514562,6.46935e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
61_7,3,1195290,2160965,2.60865e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
61_8,3,646073,769371,861886,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
61_9,3,198913,434210,674442,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
62_0,2,829639,613074,918575,"['movie_companies-mc', 'title-t']"
62_1,2,455223,304752,430481,"['movie_info_idx-mi_idx', 'title-t']"
62_10,4,1043763,4318763,2.01681e+08,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
62_11,4,16264315,21493510,7.87535e+08,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
62_12,4,508388,1643171,2.99433e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
62_13,4,9861464,5731524,3.42036e+08,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
62_14,5,15813608,22371843,9.46563e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
62_2,2,143567,108501,146555,"['movie_info-mi', 'title-t']"
62_3,2,1253091,1062999,1.23149e+06,"['movie_keyword-mk', 'title-t']"
62_4,3,10326085,5506501,3.4464e+07,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
62_5,3,1384108,4149204,1.03806e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
62_6,3,850677,1106439,6.08194e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
62_7,3,813700,1578659,1.83745e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
62_8,3,427700,562051,986210,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
62_9,3,125530,317205,616271,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
63_0,2,1533909,916438,1.43892e+06,"['cast_info-ci', 'title-t']"
63_1,2,36244344,21349889,2.97337e+07,"['movie_info_idx-mi_idx', 'title-t']"
63_10,4,7567972,12939350,3.15543e+08,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
63_11,4,510924327,478827439,1.96862e+10,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
63_12,4,200542501,105904602,9.05026e+09,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
63_13,4,16461908,36471263,7.97837e+08,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
63_14,5,492943940,496557714,1.9669e+11,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
63_2,2,459925,270622,460739,"['movie_info-mi', 'title-t']"
63_3,2,4523930,2661135,4.5779e+06,"['movie_keyword-mk', 'title-t']"
63_4,3,3461792,2759673,4.27958e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
63_5,3,8855087,12477335,1.5765e+07,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
63_6,3,13626495,10385343,1.50391e+07,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
63_7,3,546205,950372,911955,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
63_8,3,215765477,102123134,2.35506e+08,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
63_9,3,26038298,35169006,3.8268e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
64_0,2,276630,141232,252794,"['cast_info-ci', 'title-t']"
64_1,2,5935230,3290241,4.86646e+06,"['movie_info_idx-mi_idx', 'title-t']"
64_10,4,306625,1994089,8.48093e+07,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
64_11,4,35755063,73792318,3.53354e+09,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
64_12,4,14791511,16321007,2.60111e+09,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
64_13,4,1436245,5620603,1.46459e+08,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
64_14,5,32355583,76524738,1.06813e+11,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
64_2,2,43838,41706,46355,"['movie_info-mi', 'title-t']"
64_3,2,299534,410109,315269,"['movie_keyword-mk', 'title-t']"
64_4,3,179616,425295,2.97804e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
64_5,3,464073,1922888,1.04875e+07,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
64_6,3,1490360,1600490,4.39724e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
64_7,3,46654,146462,215319,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
64_8,3,17278181,15738244,1.28492e+08,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
64_9,3,4308755,5419912,2.24214e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
65_0,2,815187,501105,806868,"['cast_info-ci', 'title-t']"
65_1,2,21334720,11674041,1.64941e+07,"['movie_info_idx-mi_idx', 'title-t']"
65_10,4,2912311,7075189,3.05136e+08,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
65_11,4,268238061,261821090,6.10197e+09,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
65_12,4,104984070,57908248,2.6552e+09,"['movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
65_13,4,8005670,19942353,2.67811e+08,"['cast_info-ci', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
65_14,5,258385218,271515939,1.62023e+11,"['cast_info-ci', 'movie_info-mi', 'movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
65_2,2,221314,147975,235762,"['movie_info-mi', 'title-t']"
65_3,2,1970380,1455099,1.89342e+06,"['movie_keyword-mk', 'title-t']"
65_4,3,1402930,1508979,7.36311e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
65_5,3,3564358,6822561,7.79737e+06,"['movie_info-mi', 'movie_info_idx-mi_idx', 'title-t']"
65_6,3,7097988,5678668,1.71059e+07,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
65_7,3,257633,519660,451006,"['cast_info-ci', 'movie_info_idx-mi_idx', 'title-t']"
65_8,3,114182642,55840556,3.02476e+08,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
65_9,3,14392622,19230284,2.88933e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
66_0,2,294635,236526,337446,"['cast_info-ci', 'title-t']"
66_1,2,436548,268234,395577,"['movie_companies-mc', 'title-t']"
66_10,4,67597282,18918016,9.08951e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
66_11,4,50166855,28679171,2.36759e+09,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
66_12,4,32897373,16683042,6.61509e+09,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
66_13,4,17669965,10911645,4.09261e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
66_14,5,1352809555,148562494,1.82222e+11,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
66_2,2,1127791,673293,1.08035e+06,"['movie_info-mi', 'title-t']"
66_3,2,299534,410109,290485,"['movie_keyword-mk', 'title-t']"
66_4,3,2116623,2124426,1.44058e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
66_5,3,2742272,3652019,5.41099e+06,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
66_6,3,1258211,1389494,2.0713e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
66_7,3,2583747,3220569,3.69594e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
66_8,3,1984439,2106433,8.58271e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
66_9,3,1637102,1857429,6.5409e+06,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
67_0,2,37,9,114.071,"['cast_info-ci', 'title-t']"
67_1,2,436548,268234,393284,"['movie_companies-mc', 'title-t']"
67_10,4,21091,754,3.4365e+06,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
67_11,4,50166855,28679171,2.76933e+09,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
67_12,4,3340,665,1.18873e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
67_13,4,2967,435,1.26604e+06,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
67_14,5,191935,5924,7.28764e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
67_2,2,1127791,673293,1.08087e+06,"['movie_info-mi', 'title-t']"
67_3,2,299534,410109,299555,"['movie_keyword-mk', 'title-t']"
67_4,3,449,85,79514.8,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
67_5,3,2742272,3652019,1.09194e+07,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
67_6,3,430,55,4780.27,"['cast_info-ci', 'movie_info-mi', 'title-t']"
67_7,3,2583747,3220569,2.44303e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
67_8,3,1984439,2106433,8.79915e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
67_9,3,86,74,47878.9,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
68_0,2,1170186,839213,1.29205e+06,"['cast_info-ci', 'title-t']"
68_1,2,1798330,951716,1.58085e+06,"['movie_companies-mc', 'title-t']"
68_10,4,512575801,67122644,1.61522e+09,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
68_11,4,365166393,101756012,2.85641e+09,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
68_12,4,251883732,59192779,1.06914e+10,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
68_13,4,90649862,38715398,8.45127e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
68_14,5,9537310863,527111701,2.90222e+11,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
68_2,2,4402268,2388898,3.83623e+06,"['movie_info-mi', 'title-t']"
68_3,2,1970380,1455099,1.86125e+06,"['movie_keyword-mk', 'title-t']"
68_4,3,16657594,7537635,1.82157e+07,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
68_5,3,21795195,12957657,1.34724e+07,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
68_6,3,6621484,4930036,1.01566e+07,"['cast_info-ci', 'movie_info-mi', 'title-t']"
68_7,3,18054021,11426840,5.10648e+07,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
68_8,3,9273829,7473794,1.5597e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
68_9,3,6991479,6590310,1.81212e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
69_0,2,760935,514549,806113,"['cast_info-ci', 'title-t']"
69_1,2,1185103,583529,1.08289e+06,"['movie_companies-mc', 'title-t']"
69_10,4,83888,2265,1.87156e+06,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
69_11,4,41636,3434,3.2042e+06,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
69_12,4,23853,1998,4.4685e+06,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
69_13,4,64293817,23737682,1.14009e+09,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
69_14,5,1067496,17789,4.68248e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
69_2,2,2832163,1464712,2.51666e+06,"['movie_info-mi', 'title-t']"
69_3,2,199,49,690.033,"['movie_keyword-mk', 'title-t']"
69_4,3,2178,254,44467.1,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
69_5,3,3456,437,29581.1,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
69_6,3,4733307,3022767,3.88131e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
69_7,3,1254,385,47408.4,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
69_8,3,6395484,4582429,1.57054e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
69_9,3,4673376,4040735,1.50593e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
6_0,2,176197,120802,161715,"['movie_companies-mc', 'title-t']"
6_1,2,12,8,226.865,"['movie_info_idx-mi_idx', 'title-t']"
6_2,3,47,22,9157.68,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
70_0,2,253054,165269,234574,"['cast_info-ci', 'title-t']"
70_1,2,380792,187425,376324,"['movie_companies-mc', 'title-t']"
70_10,4,22926,728,1.53041e+06,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
70_11,4,11235,1103,4.22324e+06,"['cast_info-ci', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
70_12,4,7143,642,3.01099e+06,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
70_13,4,22138603,7624376,4.60653e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_keyword-mk', 'title-t']"
70_14,5,268172,5714,4.18577e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
70_2,2,888285,470455,819045,"['movie_info-mi', 'title-t']"
70_3,2,100,16,386.119,"['movie_keyword-mk', 'title-t']"
70_4,3,777,82,18826.5,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
70_5,3,1084,141,16137.5,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
70_6,3,1672786,970892,1.34801e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
70_7,3,467,124,47769.3,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
70_8,3,2055206,1471844,3.73261e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
70_9,3,1571072,1297856,1.15747e+07,"['cast_info-ci', 'movie_keyword-mk', 'title-t']"
7_0,2,620001,428614,648949,"['movie_companies-mc', 'title-t']"
7_1,2,6,1,54.9362,"['movie_info_idx-mi_idx', 'title-t']"
7_2,3,16,1,1297.24,"['movie_companies-mc', 'movie_info_idx-mi_idx', 'title-t']"
8_0,2,1253091,1062999,1.21112e+06,"['movie_keyword-mk', 'title-t']"
8_1,2,143567,108501,144546,"['movie_info_idx-mi_idx', 'title-t']"
8_2,3,850677,1106439,7.39482e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
9_0,2,299534,410109,318428,"['movie_keyword-mk', 'title-t']"
9_1,2,43838,41860,45905,"['movie_info_idx-mi_idx', 'title-t']"
9_2,3,179616,426868,2.64039e+06,"['movie_info_idx-mi_idx', 'movie_keyword-mk', 'title-t']"
